Version,Class,Sound,Species,Category,Subcategory,Order
v4,COCO,Common raven,Corvus corax,Birds,Corvids,Passeriformes
v4,CYST,Steller's jay,Cyanocitta stelleri,Birds,Corvids,Passeriformes
v4,NUCO,Clark's nutcracker,Nucifraga columbiana,Birds,Corvids,Passeriformes
v4,PECA,Canada jay,Perisoreus canadensis,Birds,Corvids,Passeriformes
v4,BRCA,Canada goose,Branta canadensis,Birds,Other birds,Anseriformes
v4,BRMA,Marbled murrelet,Brachyramphus marmoratus,Birds,Other birds,Charadriiformes
v4,CHMI,"Common nighthawk ""peent""",Chordeiles minor,Birds,Other birds,Caprimulgiformes
v4,CHMI_IRREG,"Common nighthawk ""boom""",Chordeiles minor,Birds,Other birds,Caprimulgiformes
v4,DEFU,Sooty grouse,Dendragapus fuliginosus,Birds,Other birds,Galliformes
v4,ORPI,Mountain quail,Oreortyx pictus,Birds,Other birds,Galliformes
v4,PAFA,Band-tailed pigeon,Patagioenas fasciata,Birds,Other birds,Columbiformes
v4,PHNU,Common poorwill,Phalaenoptilus nuttallii,Birds,Other birds,Caprimulgiformes
v4,ZEMA,Mourning dove,Zenaida macroura,Birds,Other birds,Columbiformes
v4,AEAC,Northern saw-whet owl,Aegolius acadicus,Birds,Owls,Strigiformes
v4,BUVI,Great horned owl,Bubo virginianus,Birds,Owls,Strigiformes
v4,GLGN,Northern pygmy-owl,Glaucidium gnoma,Birds,Owls,Strigiformes
v4,INSP,Barred owl inspection call,Strix varia,Birds,Owls,Strigiformes
v4,MEKE,Western screech-owl,Megascops kennicotti,Birds,Owls,Strigiformes
v4,PSFL,Flammulated owl,Psiloscops flammeolus,Birds,Owls,Strigiformes
v4,STOC,Spotted owl location call,Strix occidentalis,Birds,Owls,Strigiformes
v4,STOC_IRREG,Spotted owl series call,Strix occidentalis,Birds,Owls,Strigiformes
v4,STVA,Barred owl eight-note call,Strix varia,Birds,Owls,Strigiformes
v4,STVA_IRREG,Barred owl series call,Strix varia,Birds,Owls,Strigiformes
v4,WHIS,Strix owl contact whistle,Strix sp.,Birds,Owls,Strigiformes
v4,CAGU,Hermit thrush,Catharus guttatus,Birds,Songbirds,Passeriformes
v4,CAUS,Swainson's thrush,Catharus ustulatus,Birds,Songbirds,Passeriformes
v4,CCOO,Olive-sided flycatcher,Contopus cooperi,Birds,Songbirds,Passeriformes
v4,CHFA,Wrentit,Chamaea fasciata,Birds,Songbirds,Passeriformes
v4,IXNA,Varied thrush,Ixoreus naevius,Birds,Songbirds,Passeriformes
v4,MYTO,Townsend's solitaire,Myadestes townsendi,Birds,Songbirds,Passeriformes
v4,PIMA,Spotted towhee,Pipilo maculatus,Birds,Songbirds,Passeriformes
v4,POEC,Chickadee song,Poecile sp.,Birds,Songbirds,Passeriformes
v4,SITT,Nuthatch,Sitta sp.,Birds,Songbirds,Passeriformes
v4,TUMI,American robin whinny,Turdus migratorius,Birds,Songbirds,Passeriformes
v4,COAU,Northern flicker series,Colaptes auratus,Birds,Woodpeckers,Piciformes
v4,COAU2,"Northern flicker ""skew""",Colaptes auratus,Birds,Woodpeckers,Piciformes
v4,DRPU,Downy woodpecker call,Dryobates pubescens,Birds,Woodpeckers,Piciformes
v4,DRUM,Woodpecker (non-sapsucker) drum,NA,Birds,Woodpeckers,Piciformes
v4,HYPI,Pileated woodpecker call,Dryocopus pileatus,Birds,Woodpeckers,Piciformes
v4,SPRU,Sapsucker drum,Sphyrapicus spp.,Birds,Woodpeckers,Piciformes
v4,CALU,Wolf howl,Canis lupus,Mammals,Mammals,Carnivora
v4,OCPR,American pika,Ochotona princeps,Mammals,Mammals,Lagomorpha
v4,TADO1,Douglas squirrel rattle,Tamasciurus douglasii,Mammals,Mammals,Rodentia
v4,TADO2,Douglas squirrel chirp,Tamasciurus douglasii,Mammals,Mammals,Rodentia
v4,TAMI,Chipmunk spp. chirp,Neotamias sp.,Mammals,Mammals,Rodentia
v4,DOG,Dog barks,NA,Anthrophony,Anthrophony,NA
v4,HOSA,Human speech,NA,Anthrophony,Anthrophony,NA
v4,SHOT,Gunshot,NA,Anthrophony,Anthrophony,NA
v4,YARD,Yarder (machine),NA,Anthrophony,Anthrophony,NA
v4,FLY,Insect buzz,NA,Environmental,Environmental sound,NA
v4,FROG,Frog chorus,NA,Environmental,Environmental sound,NA
v5,COBR1,American crow,Corvus brachyrhyncos,Birds,Corvids,Passeriformes
v5,COCO1,Common raven,Corvus corax,Birds,Corvids,Passeriformes
v5,CYST1,Steller's jay,Cyanocitta stelleri,Birds,Corvids,Passeriformes
v5,CYST2,Steller's jay,Cyanocitta stelleri,Birds,Corvids,Passeriformes
v5,NUCO1,Clark's nutcracker,Nucifraga columbiana,Birds,Corvids,Passeriformes
v5,PECA1,Canada jay,Perisoreus canadensis,Birds,Corvids,Passeriformes
v5,ANCA1,Sandhill crane,Antigone canadensis,Birds,Other birds,Gruiformes
v5,BOUM1,Ruffed grouse,Bonasa umbellus,Birds,Other birds,Galliformes
v5,BRCA1,Canada goose,Branta canadensis,Birds,Other birds,Anseriformes
v5,BRMA1,Marbled murrelet keer call,Brachyramphus marmoratus,Birds,Other birds,Charadriiformes
v5,BRMA2,Marbled murrelet,Brachyramphus marmoratus,Birds,Other birds,Charadriiformes
v5,CACA1,California quail,Callipepla californica,Birds,Other birds,Galliformes
v5,CHMI1,"Common nighthawk ""peent""",Chordeiles minor,Birds,Other birds,Caprimulgiformes
v5,CHMI2,"Common nighthawk ""boom""",Chordeiles minor,Birds,Other birds,Caprimulgiformes
v5,DEFU1,Sooty grouse,Dendragapus fuliginosus,Birds,Other birds,Galliformes
v5,DEFU2,Sooty grouse,Dendragapus fuliginosus,Birds,Other birds,Galliformes
v5,GADE1,Wilson's snipe,Gallinago delicata,Birds,Other birds,Charadriiformes
v5,MEGA1,Wild turkey,Meleagris gallapavo,Birds,Other birds,Galliformes
